Sector,Province ,BE_Year,LPG,Low Speed Diesel (LSD),High Speed Diesel (HSD)/Biodiesel,Fuel oil,Gasoline 91,Gasoline 95,Gasohol 91,Gasohol 95,Natural gas
Transportation,Sakon Nakhon,2560,"6,099,130",0,"106,023,078",0,0,"581,310","24,515,534","22,136,616",0
Transportation,Chaiyaphum,2559,"5,676,290",0,"114,062,960",0,0,"1,542,140","21,208,980","18,271,146","468,000,000"
Transportation,Chaiyaphum,2560,"5,498,090",0,"126,633,542",0,0,"1,239,610","19,524,120","19,579,570","381,000,000"
Transportation,Kamphaeng Phet,2559,"6,283,572",0,"118,423,756",0,0,"1,278,080","16,828,854","12,444,200","485,000,000"
Transportation,Kamphaeng Phet,2560,"5,388,437",0,"122,815,977",0,0,"1,173,990","15,632,737","13,370,110","535,000,000"
Transportation,Phitsanulok,2559,"15,089,759",0,"270,298,315",0,0,"5,128,180","47,699,075","46,187,943","705,000,000"
Transportation,Phitsanulok,2560,"13,264,433",0,"236,701,945",0,0,"3,905,266","41,108,059","42,180,878","712,000,000"
Transportation,Samut Songkhram,2559,"10,663,687",0,"89,254,075","32,849",0,"8,131,650","17,356,460","20,704,771","877,000,000"
Transportation,Samut Songkhram,2560,"9,468,348",0,"100,794,268","41,053",0,"6,014,650","15,706,239","20,377,505","788,000,000"
Transportation,Krabi,2559,"2,997,900",0,"102,566,252",0,0,"2,249,550","26,740,546","18,554,670",0
Transportation,Krabi,2560,"2,737,806",0,"123,337,356",0,0,"1,750,281","27,632,051","22,504,965",0
Transportation,Chumphon,2559,"6,983,690",0,"231,047,608","313,000",0,"9,288,840","24,947,272","49,756,218","179,142,642"
Transportation,Chumphon,2560,"5,829,740",0,"246,386,974","493,000",0,"8,567,590","25,558,717","59,149,837","212,534,451"
Transportation,Bungkan,2559,"1,346,450",0,"25,295,136",0,0,0,"6,213,890","7,833,575",0
Transportation,Bungkan,2560,"1,399,080",0,"25,418,710",0,0,0,"5,671,800","8,126,451",0
Transportation,Burirum,2559,"1,346,450",0,"25,295,136",0,0,0,"6,213,890","7,833,575",0
Transportation,Burirum,2560,"1,399,080",0,"25,418,710",0,0,0,"5,671,800","8,126,451",0
Transportation,Phattalung,2559,"3,120,846",0,"58,647,418",0,0,"729,450","10,937,703","20,936,133",0
Transportation,Phattalung,2560,"2,543,061",0,"49,227,446",0,0,"549,288","9,723,151","20,666,411",0
Transportation,Prachinburi,2559,"10,660,315",0,"132,400,301",0,0,"2,693,113","31,175,334","36,319,592","1,133,351,229"
Transportation,Prachinburi,2560,"9,542,695",0,"131,996,915",0,0,"2,452,299","30,747,381","40,953,304","1,099,515,883"
Transportation,Udtradit,2559,"5,339,773",0,"56,881,224","270,000",0,"2,084,220","13,441,021","19,074,616","112,646,657"
Transportation,Udtradit,2560,"3,877,746",0,"60,399,530",0,0,"1,730,020","12,352,714","20,768,198","103,314,515"
Transportation,Lamphun,2559,"2,105,416",0,"54,145,926",0,0,"790,720","16,622,210","15,100,740",0
Transportation,Lamphun,2560,"3,877,746",0,"60,399,530",0,0,"1,730,020","12,352,714","20,768,198","103,314,515"
Transportation,Phichit,2559,"6,232,538",0,"99,189,824",0,0,"928,950","15,912,650","26,280,072",0
Transportation,Phichit,2560,"5,564,400",0,"99,696,396",0,0,"690,760","14,175,625","27,236,060",0
Transportation,Sa Kaeo,2559,"13,791,705.00",0.00,"77,018,124.14",0.00,0.00,"1,448,574.00","14,656,167.00","25,273,739.08","571,829,914.46"
Transportation,Sa Kaeo,2560,"16,047,340.00",0.00,"81,097,931.81",0.00,0.00,"1,044,775.00","13,596,539.40","27,231,111.33","537,632,571.63"
Transportation,Samut Sakhon,2559,"34,622,840",0,"276,063,013","1,799,630",0,"4,713,680","45,818,510","76,266,807","795,251,263"
Transportation,Samut Sakhon,2560,"29,596,584",0,"302,772,586","1,577,892",0,"4,246,950","42,518,700","83,261,168","687,499,911"
Transportation,Songkhla,2559,"13,007,611",0,"638,978,516","1,316,520",0,"11,457,459","115,266,807","201,155,202",0
Transportation,Songkhla,2560,"11,354,915",0,"662,225,567","1,319,965",0,"9,733,724","103,185,672","222,099,948",0
Transportation,Yasothon,2559,"4,229,180",0,"66,860,817",0,0,"844,230","12,082,924","16,055,046",0
Transportation,Yasothon,2560,"4,359,180",0,"60,313,135",0,"7,000","729,360","11,439,664","8,561,819",0
Transportation,Kanchanaburi,2559,"17,075,465",0,"158,526,464",0,0,"7,561,769","26,293,364","27,855,075","307,533,792"
Transportation,Kanchanaburi,2560,"15,072,232",0,"175,755,568",0,0,"9,654,807","25,697,394","33,691,836","299,660,106"
Transportation,Kalasin,2559,"7,666,230",0,"98,248,339",0,0,"597,400","21,603,163","10,958,650",0
Transportation,Kalasin,2560,"7,572,030",0,"84,566,414",0,0,"452,410","20,767,740","12,049,190",0
Transportation,Chachoengsao,2559,"21,350,840",0,"312,881,156","1,148,680",0,"7,038,610","62,087,736","48,629,461","3,002,078,840"
Transportation,Chachoengsao,2560,"19,880,439",0,"326,000,909","691,789",0,"5,855,022","56,824,890","49,737,218","2,930,314,450"
Transportation,Chonburi,2559,"72,490,601",0,"2,310,546,411","851,244,043","1,002,000","79,489,244","361,188,477","386,267,666","10,056,183,443"
Transportation,Chonburi,2560,"66,897,789",0,"2,661,811,022","892,914,958","797,724","78,571,956","384,831,162","479,193,019","9,785,672,993"
Transportation,Chainat,2559,"4,698,800",0,"63,739,295",0,0,"770,645","11,737,320","8,873,988",0
Transportation,Chainat,2560,"4,077,649",0,"51,020,979",0,0,"560,278","10,807,502","9,308,697",0
Transportation,Chiang Rai,2559,"10,221,420",0,"140,656,746",0,0,"6,675,800","39,271,728","31,773,904","215,132,190"
Transportation,Chiang Rai,2560,"8,528,105",0,"157,826,202",0,0,"4,693,660","33,436,041","29,581,788","185,439,725"
Transportation,Trat,2559,"4,407,240",0,"88,171,015",0,0,"3,162,924","7,507,440","13,068,124","108,006,887"
Transportation,Trat,2560,"4,169,190",0,"56,245,407",0,0,"3,070,441","6,847,993","13,671,510","103,645,415"
Transportation,Trang,2559,"3,271,640",0,"88,408,864","29,967",0,"2,427,922","24,354,826","28,475,504",0
Transportation,Trang,2560,"3,304,353",0,"101,498,201","71,891",0,"2,405,554","23,160,131","28,894,431",0
Transportation,Tak,2559,"3,380,171",0,"146,210,684",0,0,"227,790","22,689,411","25,651,753","403,781,383"
Transportation,Tak,2560,"3,092,610",0,"164,940,994",0,0,"266,950","21,924,017","29,946,704","347,712,813"
Transportation,Nakornnayok,2559,"7,428,610",0,"63,445,452",0,0,"1,451,930","10,842,940","7,635,540",
Transportation,Nakornnayok,2560,"6,711,440",0,"45,249,192",0,0,"1,096,980","10,471,663","9,335,438",
Transportation,Nakhon Si Thammarat,2559,"15,806,910",0,"339,330,901",0,0,"13,328,507","53,632,891","68,603,297","531,716,080"
Transportation,Nakhon Si Thammarat,2560,"13,750,735",0,"352,575,558",0,0,"11,583,502","51,312,618","73,670,107","441,062,563"
Transportation,Nakhon Pathom,2559,"54,108,360",0,"303,578,606","686,219",,"8,011,754","64,067,349","59,082,250","3,594,268,626"
Transportation,Nakhon Pathom,2560,"50,882,015",0,"351,216,884","2,344,954",,"7,408,664","58,191,777","64,410,824","3,418,242,018"
Transportation,Nakhon Ratchasima,2559,"46,863,670",0,"772,896,866",0,0,"9,462,034","125,815,266","102,658,098","2,840,704,205"
Transportation,Nakhon Ratchasima,2560,"41,718,190",0,"815,655,361",23,0,"7,106,662","122,920,057","111,116,690","2,580,520,467"
Transportation,Narathiwat,2559,"1,202,030",0,"43,569,243",0,0,"145,310","9,522,910","7,287,723",0
Transportation,Narathiwat,2560,"850,230",0,"37,979,424",0,0,"211,415","9,825,423","8,753,667",0
Transportation,Pathum Thani,2559,"85,679,743",0,"564,485,629","2,642,000",0,"10,082,102","119,382,090","104,689,996","8,516,790,738"
Transportation,Pathum Thani,2560,"76,263,423",0,"566,681,519","1,021,000",0,"8,691,959","113,028,812","114,580,896","7,942,504,297"
