Country,code,fuel,volatility,cv,big_jumps_pct,mean_price,n_months,group,region
Moldova,nan,Diesel,0.06686546241814423,0.12301080176196665,0.1282051282051282,1.2262921037574048,40,,
Mongolia,MNG,Diesel,0.05195308965866216,0.1681107440521437,0.02702702702702703,0.8825838854154558,112,Other,EAP
Mozambique,MOZ,Diesel,0.049730339940832057,0.26237899259023345,0.05405405405405406,1.05271969319924,112,Regulated,SSA
Myanmar,MMR,Diesel,9.55556905800707,3.9061750274220213,0.140625,1.0424137359943064,65,Regulated,EAP
Namibia,NAM,Diesel,0.05300430643559995,0.1824510730612415,0.06060606060606061,0.9865644521026539,100,Regulated,SSA
Nepal,NPL,Diesel,,0.22915265159072076,0.03409090909090909,0.9947669479517421,89,Regulated,SA
Netherlands,NLD,Diesel,0.03860689750653057,0.16258387253121814,0.018018018018018018,1.630174511867332,112,Deregulated,ECA
New Zealand,NZL,Diesel,0.052167735662749744,0.22212664222099462,0.04504504504504504,1.125032609798739,112,Deregulated,EAP
Nicaragua,NIC,Diesel,0.05506602286224087,0.198125409550435,0.04504504504504504,0.9432766167962287,112,Other,LAC
Niger,NER,Diesel,0.02847363710911223,0.0747376246916682,0.009259259259259259,0.9685999339944831,109,Regulated,SSA
Nigeria,NGA,Diesel,0.11439567415262081,0.5052294084117387,0.17142857142857143,0.8633477913725758,106,Deregulated,SSA
North Macedonia,MKD,Diesel,0.056482325142002285,0.17659359780224787,0.0660377358490566,1.164172071216572,107,Regulated,ECA
Norway,NOR,Diesel,0.05212177183007993,0.15218658198006627,0.05454545454545454,1.777343113481779,111,Deregulated,ECA
Oman,OMN,Diesel,0.04276136461247047,0.10912982933378217,0.06060606060606061,0.613087216490105,100,Regulated,MENA
Pakistan,PAK,Diesel,0.08062706433218404,0.16893954690147822,0.10810810810810811,0.8194289838652724,112,Regulated,SA
Panama,PAN,Diesel,0.06542047816561569,0.24437027159890504,0.07216494845360824,0.7996275510204081,98,Regulated,LAC
Papua New Guinea,PNG,Diesel,0.06510632467362558,0.18322919967699103,0.11363636363636363,0.9824827504202824,89,Regulated,EAP
Peru,PER,Diesel,0.05835694471177572,0.15865646034227668,0.06060606060606061,0.808749925900643,100,Deregulated,LAC
Philippines,PHL,Diesel,0.05980652340282392,0.23639890775053163,0.08163265306122448,0.9057253565096186,99,Deregulated,EAP
Poland,POL,Diesel,0.04553079001594631,0.15759512453127655,0.04504504504504504,1.3641273661070328,112,Deregulated,ECA
Portugal,PRT,Diesel,0.03788675080827598,0.1287308118598331,0.018018018018018018,1.5774745473324892,112,Deregulated,ECA
Qatar,QAT,Diesel,0.049894989374578425,0.16758630341397093,0.07407407407407407,0.48724366985958845,109,Regulated,MENA
Romania,ROU,Diesel,0.03705450467605785,0.15614746432259946,0.009009009009009009,1.3939474240485867,112,Deregulated,ECA
Russian Federation,RUS,Diesel,4.818540946964056,3.318947677208578,0.0990990990990991,0.9935308568769735,112,Other,ECA
Saudi Arabia,SAU,Diesel,0.07109996058889301,0.4389185797137037,0.04504504504504504,0.1670361280960073,112,Regulated,MENA
Senegal,SEN,Diesel,0.026041352502235115,0.08224530661381403,0.009259259259259259,1.1144338952280068,109,Regulated,SSA
Serbia,SRB,Diesel,0.04131717244480163,0.12965182316927415,0.018691588785046728,1.5906193637895716,108,Regulated,ECA
Sierra Leone,SLE,Diesel,0.11964472379170893,0.7423589749163015,0.13761467889908258,0.5670805137180099,110,Regulated,SSA
Slovakia,SVK,Diesel,0.03228455662495508,0.15115981453888364,0.0,1.4516793035995528,112,Deregulated,ECA
Slovenia,SVN,Diesel,0.03465002142782721,0.13503611526268988,0.009009009009009009,1.4684340696399911,112,Regulated,ECA
South Africa,ZAF,Diesel,0.05914115290340417,0.17119576544589832,0.10309278350515463,1.0510098399255865,98,Deregulated,SSA
"Korea, Rep.",KOR,Diesel,0.04138513292980221,0.11947809885561592,0.027522935779816515,1.1663200703652672,110,Deregulated,EAP
Spain,ESP,Diesel,0.03652599323505148,0.16801022534891932,0.018018018018018018,1.445083952394404,112,Deregulated,ECA
Sri Lanka,LKA,Diesel,0.06173515632076599,0.30532081862638705,0.09009009009009009,0.7561918968034503,112,,
Sweden,SWE,Diesel,0.044110943321465285,0.16792012302894227,0.02702702702702703,1.8169804170828143,112,Deregulated,ECA
Syrian Arab Republic,SYR,Diesel,0.30462538395219924,0.24245928633549044,0.09523809523809523,0.3820731979656885,85,,
"Tanzania, United Rep.",TZA,Diesel,0.051734145580128815,0.18630608135528093,0.06060606060606061,1.0200680572820557,100,Regulated,SSA
Thailand,THA,Diesel,0.055798492550725456,0.16022856755018353,0.05263157894736842,0.811018191827241,77,Regulated,EAP
Togo,TGO,Diesel,0.05025383196463461,0.18485639390843522,0.1,1.017979259287047,91,Regulated,SSA
Tunisia,TUN,Diesel,0.017519431502931213,0.06017802997167799,0.0,0.6681593476880471,60,Regulated,MENA
Turkey,TUR,Diesel,0.07023424601925149,0.17114754389544876,0.0990990990990991,1.170928448988601,112,Deregulated,ECA
United Arab Emirates,ARE,Diesel,0.06419755555045589,0.25755235159518847,0.1388888888888889,0.6924570346972745,109,Regulated,MENA
Uganda,UGA,Diesel,0.027979464832747266,0.13340669488342005,0.012987012987012988,0.9419601459004244,78,Deregulated,SSA
Ukraine,UKR,Diesel,0.055211466260268044,0.22090823842235668,0.028037383177570093,1.070668309711903,108,Deregulated,ECA
United Kingdom,GBR,Diesel,0.09564409720266587,0.27929843640167074,0.15315315315315314,0.8251128831769936,112,Deregulated,ECA
Uruguay,URY,Diesel,0.044647489534120226,0.16062825009500814,0.0410958904109589,1.2614648135956645,74,Regulated,LAC
United States,USA,Diesel,0.04703591306853808,0.25525461667407745,0.036036036036036036,0.8803537793792481,112,Deregulated,N. AMERICA
Uzbekistan,UZB,Diesel,0.11741190632892912,0.3081365503735096,0.10638297872340426,0.7659151898672644,95,Deregulated,ECA
"Venezuela, RB",VEN,Diesel,,1.2002125572388689,0.05333333333333334,0.0031568120881902656,112,Regulated,LAC
Viet Nam,VNM,Diesel,0.0711651233207934,0.21743985341926655,0.10091743119266056,0.7179293754902715,110,Regulated,EAP
West Bank and Gaza,PSE,Diesel,0.032092698958014886,0.09025932195096704,0.0,1.5864049410280856,100,,
Zambia,ZMB,Diesel,0.08401099677617338,0.15610399628377933,0.17117117117117117,1.2573864718538865,112,Regulated,SSA
Zimbabwe,ZWE,Diesel,0.0398294865788179,0.1447015877240304,0.03571428571428571,1.5149122807017545,57,Regulated,SSA
Algeria,DZA,Gasoline,0.04284677718085174,0.0716253240054942,0.02702702702702703,0.3342512328859583,112,Regulated,MENA
Angola,AGO,Gasoline,0.058475079319245414,0.5297192090166595,0.07207207207207207,0.5083256447057619,112,Regulated,SSA
Argentina,ARG,Gasoline,0.7105988536587627,0.6866377149874106,0.1574074074074074,1.4059763672675365,109,Other,LAC
Aruba,ABW,Gasoline,0.04208996941921214,0.17367933101859553,0.04854368932038835,1.2279105634499257,104,,
Australia,AUS,Gasoline,0.06000151390127831,0.16926729602643253,0.07207207207207207,0.9734219982180952,112,Deregulated,EAP
Austria,AUT,Gasoline,0.0391830928840287,0.14680903878794485,0.02702702702702703,1.4933464157638277,112,Deregulated,ECA
Bahrain,BHR,Gasoline,0.062402329169412796,0.09807122962382028,0.018518518518518517,0.5039126431942441,109,Regulated,MENA
Barbados,BRB,Gasoline,0.03614655092483096,0.1143270174502509,0.020833333333333332,1.8913902826243612,97,Regulated,LAC
Belgium,BEL,Gasoline,0.037815857711080675,0.11253840368648146,0.009009009009009009,1.650525211715852,112,Regulated,ECA
Belize,BLZ,Gasoline,0.04375633977325414,0.1701725111786513,0.02857142857142857,1.5743118956235174,106,Regulated,LAC
Bosnia and Herzegovina,BIH,Gasoline,0.039741322725094896,0.11504329974307281,0.028037383177570093,1.32782442809584,108,Deregulated,ECA
Botswana,BWA,Gasoline,0.05386545908723043,0.18816004952045698,0.09523809523809523,1.01439556379867,64,Regulated,SSA
Brazil,BRA,Gasoline,0.05080866614712049,0.12989199535975116,0.038461538461538464,1.1288253566716162,53,Other,LAC
Bulgaria,BGR,Gasoline,0.034644476423521975,0.13364585045512264,0.009009009009009009,1.2778335218078192,112,Deregulated,ECA
Canada,CAN,Gasoline,0.05331892583048789,0.17709199205725643,0.0673076923076923,1.1925126375645467,105,Deregulated,N. AMERICA
CI$/Imperial gallon,CYM,Gasoline,0.03113752281075234,0.12881824153624483,0.011235955056179775,0.8769781606555955,90,Deregulated,LAC
Chile,CHL,Gasoline,0.03605231517618959,0.13992060651027693,0.009009009009009009,1.2242846482875767,112,Deregulated,LAC
China,CHN,Gasoline,0.03668921486960474,0.1204579999436239,0.009523809523809525,1.1005570817559902,106,Regulated,EAP
Colombia,COL,Gasoline,0.04184601640267533,0.1977422919495282,0.018018018018018018,0.7525459752986533,112,Regulated,LAC
Costa Rica,CRI,Gasoline,0.05355605825922814,0.14658882488034644,0.06363636363636363,1.177354818126349,111,Regulated,LAC
Croatia,HRV,Gasoline,0.03914781400904732,0.10100542686388397,0.036036036036036036,1.538260866759213,112,Regulated,ECA
Cyprus,CYP,Gasoline,0.03887498081646852,0.10590984314311337,0.04504504504504504,1.433809919537476,112,Deregulated,ECA
